Language,Total_Speakers,Highest_Number_Speakers,Country_Speakers
Amharic,~60 million,Ethiopia,~59 million
Egyptian Arabic,~119 million,Egypt,~84 million
Hausa,~94 million,Nigeria,~67 million
Levantine Arabic,~60 million,Syria,~21 million
Modern Standard Arabic,~273 million,Egypt,~77 million
Sudanese Arabic,~52 million,Sudan,~52 million
Vietnamese,~97 million,Vietnam,~86 million
Indonesian,~254 million,Indonesia,~198 million
Javanese,~80 million,Indonesia,~80 million
Tagalog,~87 million,Philippines,~80 million
Kannada,~79 million,India (Karnataka),~59 million
Tamil,~86 million,India (Tamil Nadu),~69 million
Telugu,~100 million,India (Andhra Pradesh / Telangana),~96 million
Bengali,~272 million,Bangladesh,~100 million
Bhojpuri,~53 million,India (Bhojpur),~50 million
English,~1.5 billion,United States,~300 million
French,~312 million,France,~64 million
Gujarati,~62 million,India (Gujarat),~60 million
Hindi,~609 million,India,~528 million
Persian,~130 million,Iran,~70 million
Italian,~85 million,Italy,~58 million
Marathi,~99 million,India (Maharashtra),~84 million
Portuguese,~267 million,Brazil,~203 million
Russian,~258 million,Russia,~134 million
Spanish,~558 million,Mexico,~132 million
German,~155 million,Germany,~80 million
Urdu,~254 million,Pakistan,~116 million
Punjabi,~150 million,Pakistan,~89 million
Japanese,~128 million,Japan,~123 million
Korean,~82 million,South Korea,~51 million
Thai,~71 million,Thailand,~70 million
Swahili,~97 million,Tanzania,~55 million
Mandarin,~1.2 billion,China,~1.1 billion
Wu,~83 million,China (Shanghai),~81 million
Yue,~86 million,China (Guangdong / Hong Kong),~68 million
Turkish,~91 million,Turkey,~75 million
Hungarian,~14 million,Hungary,~10 million
Basque,"~800,000",Spain,"~750,000"
Finnish,~5.5 million,Finland,~4.9 million
Estonia,~1.1 million,Estonia,"~950,000"
Czech,~12 million,Czechia,~10 million
Slovak,~6 million,Slovakia,~5 million
Balinese,~3.3 million,Indonesia,~3.3 million
