Language,langCode,googleTtsVoice
Amharic,en-US,en-US-Chirp3-HD-Zubenelgenubi
Egyptian Arabic,ar-XA,ar-XA-Chirp3-HD-Achernar
Hausa,ar-XA,ar-XA-Chirp3-HD-Achernar
Levantine Arabic,ar-XA,ar-XA-Chirp3-HD-Achernar
Modern Standard Arabic,ar-XA,ar-XA-Chirp3-HD-Achernar
Sudanese Arabic,ar-XA,ar-XA-Chirp3-HD-Achernar
Vietnamese,vi-VN,vi-VN-Chirp3-HD-Achernar
Indonesian,id-ID,id-ID-Chirp3-HD-Achernar
Javanese,id-ID,id-ID-Chirp3-HD-Achernar
Tagalog,fil-PH,fil-ph-Neural2-A
Kannada,kn-IN,kn-IN-Chirp3-HD-Achernar
Tamil,ta-IN,ta-IN-Chirp3-HD-Achernar
Telugu,te-IN,te-IN-Chirp3-HD-Achernar
Bengali,bn-IN,bn-IN-Chirp3-HD-Achernar
Bhojpuri,hi-IN,hi-IN-Chirp3-HD-Achernar
English,en-GB,en-GB-Chirp3-HD-Achernar
French,fr-FR,fr-FR-Chirp3-HD-Achernar
Gujarati,gu-IN,gu-IN-Chirp3-HD-Achernar
Hindi,hi-IN,hi-IN-Chirp3-HD-Achernar
Persian,ur-IN,ur-IN-Chirp3-HD-Achernar
Italian,it-IT,it-IT-Chirp3-HD-Achernar
Marathi,mr-IN,mr-IN-Chirp3-HD-Achernar
Portuguese,pt-BR,pt-BR-Chirp3-HD-Achernar
Russian,ru-RU,ru-RU-Chirp3-HD-Aoede
Spanish,es-ES,es-ES-Chirp3-HD-Achernar
German,de-DE,de-DE-Chirp3-HD-Achernar
Urdu,ur-IN,ur-IN-Chirp3-HD-Achernar
Punjabi,pa-IN,pa-IN-Wavenet-A
Japanese,ja-JP,ja-JP-Chirp3-HD-Achernar
Korean,ko-KR,ko-KR-Chirp3-HD-Achernar
Thai,th-TH,th-TH-Chirp3-HD-Achernar
Swahili,ar-XA,ar-XA-Chirp3-HD-Achernar
Mandarin,cmn-CN,cmn-CN-Chirp3-HD-Achernar
Wu,cmn-CN,cmn-CN-Chirp3-HD-Achernar
Yue,yue-HK,yue-HK-Standard-A
Turkish,tr-TR,tr-TR-Chirp3-HD-Achernar
Hungarian,hu-HU,hu-HU-Chirp3-HD-Iapetus
Basque,eu-ES,eu-ES-Standard-B
Finnish,fi-FI,fi-FI-Chirp3-HD-Aoede
Estonian,et-EE,et-EE-Chirp3-HD-Aoede
Czech,cs-CZ,cs-CZ-Chirp3-HD-Achernar
Slovak,sk-SK,sk-SK-Chirp3-HD-Kore
Balinese,id-ID,id-ID-Chirp3-HD-Achernar

